City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,291.36,88,100,2.24,PT,1699832766
1,rio grande,-32.035,-52.0986,290.21,95,100,2.75,BR,1699832767
2,kavaratti,10.5669,72.642,300.95,75,70,1.68,IN,1699832767
3,talnakh,69.4865,88.3972,271.6,96,100,4.29,RU,1699832768
4,hithadhoo,-0.6,73.0833,300.54,79,93,2.52,MV,1699832769
5,umarkot,25.3616,69.7362,293.17,27,92,0.62,PK,1699832769
6,taoudenni,22.6783,-3.9836,299.7,18,0,6.54,ML,1699832770
7,grytviken,-54.2811,-36.5092,276.19,90,100,1.41,GS,1699832771
8,papao,-17.75,-149.55,302.97,79,31,5.2,PF,1699832771
9,lihue,21.9789,-159.3672,301.73,75,40,9.26,US,1699832480
10,iqaluit,63.7506,-68.5145,255.2,70,20,3.6,CA,1699832773
11,carnarvon,-24.8667,113.6333,295.05,76,13,3.79,AU,1699832774
12,edinburgh of the seven seas,-37.0676,-12.3116,287.26,83,7,9.88,SH,1699832775
13,margaret river,-33.95,115.0667,289.37,85,100,7.71,AU,1699832776
14,ta`u,-14.2336,-169.5144,301.0,80,64,4.88,AS,1699832777
15,nova sintra,14.8667,-24.7167,296.74,70,67,7.28,CV,1699832777
16,pyt-yakh,60.7499,72.8582,272.96,92,98,3.56,RU,1699832781
17,blackmans bay,-43.0167,147.3167,289.55,49,8,2.85,AU,1699832781
18,villanueva,15.3167,-88.0,301.7,79,75,4.12,HN,1699832782
19,kodiak,57.79,-152.4072,277.88,56,0,2.57,US,1699832783
20,coronel dorrego,-38.7187,-61.2873,282.72,31,20,2.32,AR,1699832783
21,karratha,-20.7377,116.8463,298.41,43,3,5.8,AU,1699832784
22,antsiranana,-12.2787,49.2917,297.92,79,46,5.97,MG,1699832785
23,adamstown,-25.066,-130.1015,295.98,85,100,8.37,PN,1699832785
24,holualoa,19.6228,-155.9522,300.12,74,40,4.12,US,1699832786
25,puerto quijarro,-17.7833,-57.7667,306.71,39,86,3.97,BO,1699832787
26,bethel,41.3712,-73.414,276.32,70,0,0.45,US,1699832788
27,peace river,56.2501,-117.286,276.32,69,20,3.09,CA,1699832788
28,saint-pierre,-21.3393,55.4781,292.97,64,0,3.6,RE,1699832789
29,xiongzhou,25.1167,114.3,285.15,80,100,2.59,CN,1699832790
30,longyearbyen,78.2186,15.6401,269.06,86,75,6.17,SJ,1699832790
31,hermanus,-34.4187,19.2345,287.54,84,1,4.11,ZA,1699832791
32,albany,42.6001,-73.9662,273.52,74,6,0.31,US,1699832767
33,thompson,55.7435,-97.8558,271.24,100,100,1.54,CA,1699832793
34,sakaraha,-22.9,44.5333,294.58,54,0,0.73,MG,1699832794
35,qaqortoq,60.7167,-46.0333,265.79,88,13,0.4,GL,1699832795
36,invercargill,-46.4,168.35,284.27,94,100,3.58,NZ,1699832796
37,waitangi,-43.9535,-176.5597,285.79,87,70,8.57,NZ,1699832796
38,vallenar,-28.5708,-70.7581,293.81,36,3,1.51,CL,1699832797
39,mount isa,-20.7333,139.5,306.02,33,21,3.6,AU,1699832798
40,port-aux-francais,-49.35,70.2167,278.01,83,100,5.48,TF,1699832798
41,kantharalak,14.6406,104.6499,298.69,100,16,1.05,TH,1699832799
42,puerto natales,-51.7236,-72.4875,279.74,81,99,2.95,CL,1699832786
43,olonkinbyen,70.9221,-8.7187,270.13,67,98,2.31,SJ,1699832801
44,puerto baquerizo moreno,-0.9,-89.6,296.95,83,18,6.42,EC,1699832801
45,hawaiian paradise park,19.5933,-154.9731,300.25,80,20,2.57,US,1699832737
46,susuman,62.7833,148.1667,245.06,95,95,2.26,RU,1699832803
47,college,64.8569,-147.8028,266.12,79,75,1.54,US,1699832804
48,pariaman,-0.619,100.12,298.18,87,100,0.83,ID,1699832804
49,ushuaia,-54.8,-68.3,283.96,50,75,5.14,AR,1699832803
50,yeed,4.55,43.0333,299.87,71,80,3.25,SO,1699832806
51,conde,-7.2597,-34.9075,298.85,73,0,3.09,BR,1699832807
52,taltal,-25.4,-70.4833,290.81,73,10,2.1,CL,1699832807
53,glace bay,46.1969,-59.957,275.91,80,75,5.36,CA,1699832808
54,weno,7.4515,151.8468,300.12,89,100,4.63,FM,1699832809
55,jamestown,42.097,-79.2353,276.95,68,0,3.09,US,1699832628
56,taulaga,-11.0553,-171.0883,301.81,71,88,1.47,AS,1699832811
57,galesong,-5.3166,119.3661,301.16,71,77,0.99,ID,1699832811
58,esquel,-42.9,-71.3167,274.45,97,69,3.26,AR,1699832812
59,labrador city,52.9463,-66.9114,267.1,79,100,4.63,CA,1699832714
60,klyuchi,52.2667,79.1667,277.65,87,98,4.66,RU,1699832813
61,kapuskasing,49.4169,-82.4331,274.2,93,100,6.69,CA,1699832814
62,east london,-33.0153,27.9116,287.9,67,1,3.94,ZA,1699832711
63,sumbawa besar,-8.5,117.4333,303.16,59,45,1.77,ID,1699832815
64,namibe,-15.1961,12.1522,295.01,79,69,1.34,AO,1699832816
65,vila franca do campo,37.7167,-25.4333,293.38,99,100,6.41,PT,1699832817
66,northam,51.0333,-4.2167,287.4,96,100,8.48,GB,1699832817
