City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cidreira,-30.1811,-50.2056,69.19,97,93,15.93,BR,1699853915
1,mumbwa,-14.9783,27.0619,81.37,46,17,4.41,ZM,1699853916
2,port elizabeth,-33.918,25.5701,62.89,82,40,14.97,ZA,1699853917
3,choyr,46.3611,108.3611,21.36,69,8,2.64,MN,1699853918
4,minas de marcona,-15.2119,-75.1103,57.15,93,90,13.31,PE,1699853918
5,colonia,50.9333,6.95,48.74,91,100,5.75,DE,1699853722
6,kokopo,-4.352,152.2633,81.03,75,100,11.68,PG,1699853920
7,bethel,41.3712,-73.414,32.94,78,0,0.0,US,1699853921
8,megion,61.0296,76.1136,32.02,92,100,11.95,RU,1699853922
9,blackmans bay,-43.0167,147.3167,69.93,40,4,5.01,AU,1699853922
10,papatowai,-46.5619,169.4708,51.35,95,100,5.44,NZ,1699853923
11,segarcea,44.1,23.75,34.32,63,46,2.84,RO,1699853924
12,puerto natales,-51.7236,-72.4875,41.02,83,100,4.9,CL,1699853925
13,port-aux-francais,-49.35,70.2167,39.51,90,100,11.27,TF,1699853925
14,kalmunai,7.4167,81.8167,78.19,89,100,7.58,LK,1699853926
15,grytviken,-54.2811,-36.5092,36.77,88,100,3.42,GS,1699853927
16,ribeira grande,38.5167,-28.7,62.78,89,100,7.0,PT,1699853928
17,betio village,1.358,172.9211,84.24,76,79,10.4,KI,1699853929
18,anadyr,64.75,177.4833,27.1,86,75,8.95,RU,1699853930
19,callao,-12.0667,-77.15,68.72,82,100,9.22,PE,1699853930
20,ketchikan,55.3422,-131.6461,44.58,61,40,10.36,US,1699853735
21,tatabanya,47.5849,18.3932,38.7,85,81,1.68,HU,1699853932
22,saint-pierre,-21.3393,55.4781,82.56,65,0,9.22,RE,1699853932
23,lebu,-37.6167,-73.65,45.07,77,1,13.18,CL,1699853933
24,chonchi,-42.6128,-73.8092,45.61,95,99,4.05,CL,1699853934
25,kolonia town,6.964,158.206,87.8,79,100,4.61,FM,1699853935
26,chivhu,-19.0211,30.8922,77.23,40,39,7.29,ZW,1699853662
27,remire-montjoly,4.9167,-52.2667,80.26,82,2,10.85,GF,1699853936
28,golaghat,26.5167,93.9667,77.4,63,0,4.7,IN,1699853937
29,albany,42.6001,-73.9662,27.01,83,0,2.84,US,1699853937
30,ouargla,31.9493,5.325,53.67,62,0,0.0,DZ,1699853938
31,talnakh,69.4865,88.3972,22.21,97,100,5.99,RU,1699853939
32,nago,26.5881,127.9761,70.23,59,85,17.67,JP,1699853939
33,caleta de carquin,-11.0925,-77.6267,66.6,87,23,9.33,PE,1699853940
34,mount pearl,47.5166,-52.7813,28.33,82,100,10.36,CA,1699853941
35,tura,25.5198,90.2201,81.55,50,0,1.86,IN,1699853942
36,shahrak,34.1074,64.3052,49.6,23,0,2.04,AF,1699853942
37,alofi,-19.0595,-169.9187,73.29,94,100,11.5,NU,1699853943
38,margate,51.3813,1.3862,54.3,95,100,8.01,GB,1699853944
39,afaahiti,-17.75,-149.2833,76.87,82,70,5.46,PF,1699853944
40,novodvinsk,64.4165,40.8122,19.78,90,79,12.19,RU,1699853945
41,waitangi,-43.9535,-176.5597,57.81,84,100,5.01,NZ,1699853946
42,georgetown,5.4112,100.3354,89.55,74,20,10.36,MY,1699853947
43,tucurui,-3.7661,-49.6725,78.96,68,72,6.76,BR,1699853947
44,ilulissat,69.2167,-51.1,14.02,57,75,0.0,GL,1699853948
45,labytnangi,66.6572,66.4183,7.41,89,18,6.69,RU,1699853950
46,chissamba,-12.1667,17.3333,65.1,87,100,2.71,AO,1699853952
47,mansa,29.9833,75.3833,79.09,26,3,1.88,IN,1699853953
48,korosladany,46.9667,21.0833,40.46,76,99,5.93,HU,1699853953
49,ambovombe,-25.1667,46.0833,84.27,38,0,6.55,MG,1699853954
50,invercargill,-46.4,168.35,52.02,84,99,10.0,NZ,1699853955
51,stanley,54.868,-1.6985,44.71,95,100,5.75,GB,1699853955
52,acarau,-2.8856,-40.12,77.4,82,1,11.97,BR,1699853929
53,kuala tungkal,-0.8167,103.4667,86.36,64,52,6.91,ID,1699853957
54,smithers,54.7804,-127.1743,28.72,100,100,0.0,CA,1699853958
55,wailua homesteads,22.0669,-159.378,77.79,80,75,21.85,US,1699853959
56,el calafate,-50.3408,-72.2768,43.72,72,100,4.12,AR,1699853960
57,palikir - national government center,6.9248,158.1611,86.74,79,100,4.61,FM,1699853960
58,blackwater,-23.5833,148.8833,93.69,23,0,13.06,AU,1699853961
59,gevas,38.2968,43.1083,53.2,49,39,4.32,TR,1699853962
60,avarua,-21.2078,-159.775,71.65,68,99,3.44,CK,1699853963
61,lautoka,-17.6167,177.4667,76.86,83,100,6.91,FJ,1699853704
62,yellowknife,62.456,-114.3525,18.12,97,100,16.11,CA,1699853964
63,hermanus,-34.4187,19.2345,62.69,72,29,13.27,ZA,1699853965
64,la passe,45.5549,-0.8967,61.03,82,94,15.17,FR,1699853965
65,adamstown,-25.066,-130.1015,72.99,87,100,19.39,PN,1699853966
66,utrik,11.2278,169.8474,82.17,84,99,21.03,MH,1699853967
67,boussu,50.4342,3.7944,51.69,100,75,8.05,BE,1699853968
68,ostersund,63.1792,14.6357,21.65,93,100,5.75,SE,1699853969
69,aragarcas,-15.8975,-52.2508,76.12,47,90,2.66,BR,1699853970
70,tiksi,71.6872,128.8694,0.21,92,85,11.14,RU,1699853970
71,prince rupert,54.3161,-130.3201,44.29,81,75,19.57,CA,1699853971
72,namibe,-15.1961,12.1522,75.83,68,61,1.12,AO,1699853972
73,mili,6.0815,171.735,83.95,80,100,16.98,MH,1699853973
74,east london,-33.0153,27.9116,63.54,67,40,13.8,ZA,1699853974
75,nar'yan-mar,67.6713,53.087,11.1,94,45,5.01,RU,1699853975
76,lazaro cardenas,17.9583,-102.2,77.7,87,66,2.93,MX,1699853976
77,envira,-7.3,-70.2167,74.5,87,11,2.15,BR,1699853976
78,trairi,-3.2778,-39.2689,78.93,77,28,9.84,BR,1699853776
79,thanh hoa,19.8,105.7667,62.8,88,100,14.23,VN,1699853978
80,saint-philippe,-21.3585,55.7679,78.39,73,66,5.21,RE,1699853978
81,alice springs,-23.7,133.8833,98.15,18,90,11.5,AU,1699853979
82,tofol,5.3248,163.0078,76.78,94,100,3.44,FM,1699853980
83,umm kaddadah,13.6017,26.6876,84.52,26,18,13.94,SD,1699853981
84,edgewater,28.9889,-80.9023,72.1,91,100,11.61,US,1699853981
85,saarijarvi,62.7049,25.254,28.56,89,100,8.61,FI,1699853982
86,olonkinbyen,70.9221,-8.7187,26.28,67,100,5.1,SJ,1699853983
87,arraial do cabo,-22.9661,-42.0278,74.71,90,75,4.54,BR,1699853984
88,cabinda,-5.55,12.2,80.74,89,40,0.0,AO,1699853984
89,bilibino,68.0546,166.4372,-0.22,99,100,5.79,RU,1699853985
90,forio,40.7342,13.8646,58.42,86,33,1.99,IT,1699853986
91,punta arenas,-53.15,-70.9167,46.51,66,75,17.27,CL,1699853986
92,sanctuary point,-35.1114,150.629,69.98,58,57,7.99,AU,1699853987
93,tommot,58.9564,126.2925,12.33,90,99,8.05,RU,1699853988
94,port mathurin,-19.6833,63.4167,77.77,75,0,2.73,MU,1699853989
95,tamanrasset,22.785,5.5228,60.71,18,0,4.61,DZ,1699853989
96,hovd,48.0056,91.6419,26.53,84,98,3.53,MN,1699853990
97,kuraymah,18.55,31.85,87.91,22,52,4.79,SD,1699853991
98,malango,-2.9627,119.9001,84.92,52,98,5.35,ID,1699853991
99,udachny,66.4167,112.4,12.45,85,100,7.49,RU,1699853992
100,khandyga,62.6667,135.6,-8.37,98,100,1.83,RU,1699853993
101,newman,37.3138,-121.0208,58.05,58,97,1.01,US,1699853994
102,nicoya,10.1483,-85.452,75.92,92,100,0.74,CR,1699853994
103,oradea,47.0667,21.9333,36.03,93,0,8.99,RO,1699853995
104,thompson,55.7435,-97.8558,30.36,93,100,5.75,CA,1699853996
105,salinopolis,-0.6136,-47.3561,78.87,81,9,7.65,BR,1699853997
106,sabha,27.0377,14.4283,63.39,55,0,8.5,LY,1699853998
107,hithadhoo,-0.6,73.0833,81.66,77,92,8.14,MV,1699853998
108,biloela,-24.4167,150.5,96.8,21,1,7.81,AU,1699853999
109,manokwari,-0.8667,134.0833,83.71,79,85,4.7,ID,1699854000
110,rawson,-43.3002,-65.1023,53.24,40,49,17.05,AR,1699854001
111,jabor,5.921,169.6434,83.19,82,100,15.26,MH,1699854002
112,tarauaca,-8.1614,-70.7656,76.12,86,20,1.81,BR,1699854002
113,iqaluit,63.7506,-68.5145,1.13,70,75,10.36,CA,1699854003
114,margaret river,-33.95,115.0667,73.09,60,69,2.64,AU,1699854004
115,otjimbingwe,-22.35,16.1333,85.69,28,34,6.26,NA,1699854005
116,bel ombre,-4.6167,55.4167,85.84,79,40,10.36,SC,1699854006
117,klyuchi,52.2667,79.1667,40.78,81,98,13.67,RU,1699854006
118,oppdal,62.5943,9.6912,22.42,72,6,5.44,NO,1699854007
119,richards bay,-28.783,32.0377,66.38,83,99,7.05,ZA,1699854008
120,jerez de los caballeros,38.3206,-6.7726,53.13,93,0,1.95,ES,1699854008
121,yuzhno-kurilsk,44.0306,145.8556,36.37,80,85,4.61,RU,1699854009
122,ushuaia,-54.8,-68.3,49.66,53,75,11.5,AR,1699853729
123,naifaru,5.4444,73.3657,82.72,73,57,7.18,MV,1699854011
124,quetigny,47.3167,5.1167,53.55,94,100,12.66,FR,1699854011
125,nuuk,64.1835,-51.7216,21.81,79,75,16.11,GL,1699854012
126,strezhevoy,60.7333,77.5889,31.96,98,100,5.99,RU,1699854013
127,ierapetra,35.01,25.7353,71.15,65,91,5.01,GR,1699854013
128,richmond,37.5538,-77.4603,38.16,89,0,0.0,US,1699853857
129,taoudenni,22.6783,-3.9836,73.36,23,4,10.96,ML,1699854015
130,vila velha,-20.3297,-40.2925,76.95,89,0,5.99,BR,1699854016
131,edinburgh of the seven seas,-37.0676,-12.3116,57.67,81,48,23.73,SH,1699854016
132,okhotsk,59.3833,143.3,6.15,76,10,17.49,RU,1699854017
133,sonoita,31.85,-112.8333,64.8,34,0,3.74,MX,1699854018
134,klaksvik,62.2266,-6.589,45.52,85,98,29.33,FO,1699854019
135,shahritus,37.2637,68.1385,64.24,32,23,2.59,TJ,1699854019
136,minas,-34.3759,-55.2377,55.69,78,100,14.7,UY,1699854022
137,amassoma,4.9692,6.1097,76.95,93,78,2.37,NG,1699854022
138,puerto baquerizo moreno,-0.9,-89.6,74.68,81,83,12.59,EC,1699854023
139,bay harbor,30.1471,-85.6146,60.87,90,100,10.36,US,1699854024
140,sihanoukville,10.6093,103.5296,89.55,70,40,8.05,KH,1699853823
141,nzega,-2.479,29.5564,63.97,80,70,1.95,RW,1699854026
142,vorgashor,67.5833,63.95,8.55,99,93,4.9,RU,1699854026
143,cold lake,54.4502,-110.2017,24.75,80,0,0.0,CA,1699854027
144,pierre,44.3683,-100.351,47.28,56,0,6.91,US,1699854028
145,kurchatov,51.6601,35.6521,46.02,83,100,18.01,RU,1699854029
146,kashgar,39.4547,75.9797,51.01,27,0,2.24,CN,1699854030
147,nykarleby,63.5228,22.5307,27.01,86,100,9.4,FI,1699854031
148,kangding,30.0513,101.9603,58.01,36,29,1.61,CN,1699854031
149,santa marta de ortigueira,43.6833,-7.85,64.0,89,99,21.7,ES,1699854032
150,college,64.8569,-147.8028,12.45,85,75,4.61,US,1699854033
151,vadso,70.0744,29.7487,23.16,86,20,14.97,NO,1699854034
152,inarajan village,13.2736,144.7484,90.57,83,21,16.73,GU,1699854034
153,aasiaat,68.7098,-52.8699,3.94,92,23,6.46,GL,1699854035
154,al burayqah,30.4062,19.5739,71.44,69,0,9.06,LY,1699854036
155,namdrik,5.5994,168.1028,82.8,82,97,8.57,MH,1699854037
156,ashland,40.8167,-82.2665,38.1,94,0,6.76,US,1699854037
157,carnarvon,-24.8667,113.6333,74.64,63,29,13.78,AU,1699854038
158,maintirano,-18.0667,44.0167,85.8,57,1,3.4,MG,1699854039
159,sa dec,10.3,105.7667,89.58,60,61,9.31,VN,1699854040
160,buka,40.8108,69.1986,52.74,36,95,1.43,UZ,1699854040
161,nema,57.5067,50.5011,36.36,93,100,14.61,RU,1699854041
162,keflavik,64.0049,-22.5624,39.63,56,0,20.71,IS,1699854042
163,badger,64.8,-147.5333,12.36,88,75,4.61,US,1699854042
164,san patricio,28.017,-97.5169,63.84,98,100,9.15,US,1699854044
165,cabo san lucas,22.8909,-109.9124,79.75,71,69,5.44,MX,1699853775
166,onguday,50.75,86.15,34.5,89,100,0.74,RU,1699854047
167,taltal,-25.4,-70.4833,60.82,77,1,3.58,CL,1699854048
168,jiuquan,39.7432,98.5174,41.94,26,70,7.16,CN,1699854049
169,guerrero negro,27.9769,-114.0611,66.06,56,0,5.46,MX,1699854050
170,axim,4.8699,-2.2405,78.33,89,21,4.41,GH,1699854051
171,coquimbo,-29.9533,-71.3436,55.13,87,0,3.44,CL,1699854052
172,agios nikolaos,35.1914,25.7133,70.77,65,76,5.46,GR,1699854052
173,longyearbyen,78.2186,15.6401,19.24,73,75,23.02,SJ,1699854053
174,karratha,-20.7377,116.8463,86.13,39,39,20.62,AU,1699854054
175,forster,-32.1667,152.5167,69.39,72,70,11.32,AU,1699854054
176,hawaiian paradise park,19.5933,-154.9731,73.04,95,100,6.91,US,1699854055
177,balkashino,52.5167,68.7667,38.32,88,100,6.53,KZ,1699854056
178,suntar,62.1444,117.6319,15.3,91,100,5.99,RU,1699854057
179,paray-le-monial,46.4546,4.1158,58.15,92,75,3.44,FR,1699854057
180,piti village,13.4626,144.6933,90.48,76,75,18.41,GU,1699854058
181,timimoun,29.2639,0.231,57.58,38,0,5.75,DZ,1699854059
182,isafjordur,66.0755,-23.124,33.84,86,100,6.82,IS,1699854059
183,poltavka,54.3663,71.7632,39.96,89,95,9.17,RU,1699854060
184,chorfa,36.3651,4.3264,55.45,77,43,2.28,DZ,1699854061
185,hamilton,39.1834,-84.5333,44.78,76,0,1.99,US,1699853849
186,mil'kovo,55.6078,37.7956,40.41,93,100,15.97,RU,1699854062
187,mezhdurechenskiy,59.6,65.9333,31.24,84,81,2.98,RU,1699854063
188,piacabucu,-10.4056,-36.4344,73.27,81,6,6.73,BR,1699854064
189,mahdia,35.5047,11.0622,67.95,67,73,14.23,TN,1699854065
190,chibougamau,49.9168,-74.3659,19.02,93,100,9.22,CA,1699854065
191,kodinsk,58.6881,99.1844,26.44,93,100,4.09,RU,1699854066
192,daru,-9.0763,143.2092,81.5,67,64,10.29,PG,1699854068
193,san felipe,10.3399,-68.7425,72.86,96,100,1.05,VE,1699854069
194,palembang,-2.9167,104.7458,91.49,58,40,5.75,ID,1699854069
195,laguna,38.421,-121.4238,59.63,66,0,4.61,US,1699854070
196,mitchell,43.7094,-98.0298,39.18,56,0,5.75,US,1699854071
197,kone,-21.0595,164.8658,74.88,56,62,9.89,NC,1699854072
198,elverum,60.8819,11.5623,6.53,98,75,3.42,NO,1699854072
199,kulhudhuffushi,6.6221,73.07,82.92,72,88,5.57,MV,1699854073
200,slavgorod,52.9978,78.6449,39.52,92,99,9.44,RU,1699854074
201,itoman,26.1247,127.6694,70.18,56,75,20.71,JP,1699854075
202,kodiak,57.79,-152.4072,33.31,69,75,4.61,US,1699853850
203,santa rosa misiones,-26.8667,-56.85,83.5,57,88,9.89,PY,1699854076
204,kavieng,-2.5744,150.7967,83.37,70,90,6.2,PG,1699854077
205,enewetak,11.3474,162.3373,82.11,82,100,15.95,MH,1699854078
206,kasongo-lunda,-6.4667,16.8167,69.75,98,100,1.63,CD,1699854078
207,kalabo,-14.97,22.6814,79.93,52,63,6.76,ZM,1699854079
208,birobidzhan,48.8,132.95,24.82,76,5,5.32,RU,1699854080
209,kolonia,50.9333,6.95,48.74,91,100,5.75,DE,1699854081
210,salekhard,66.53,66.6019,7.3,91,8,6.76,RU,1699854081
211,sambava,-14.2667,50.1667,81.0,67,14,9.31,MG,1699854082
212,pundong,-7.9522,110.3486,85.73,69,60,13.27,ID,1699854083
213,pirallahi,40.4723,50.333,59.14,69,50,15.08,AZ,1699854084
214,kamina,-8.7386,24.9906,65.19,96,100,1.88,CD,1699854084
215,ixtapa,20.7,-105.2,78.03,78,20,3.44,MX,1699854085
216,saipan,15.1355,145.701,88.5,74,20,17.27,MP,1699854086
217,kapuskasing,49.4169,-82.4331,35.6,93,100,18.41,CA,1699854086
218,howard springs,-12.497,131.047,91.31,56,62,6.38,AU,1699854087
219,island harbour,50.724,-1.2758,59.94,93,100,8.99,GB,1699854088
220,port douglas,-16.4833,145.4667,77.88,71,48,12.86,AU,1699854089
221,tolanaro,-25.0319,46.9987,80.67,50,0,5.75,MG,1699854089
222,west island,-12.1568,96.8225,82.38,78,75,11.5,CC,1699854090
223,chui,-33.6971,-53.4616,61.95,90,83,7.83,UY,1699854091
224,whitehorse,60.7161,-135.0538,25.57,80,100,3.44,CA,1699854092
225,pak phanang,8.3511,100.202,87.04,72,100,6.51,TH,1699854093
226,qaqortoq,60.7167,-46.0333,14.83,92,21,1.68,GL,1699854094
